Iteration,Epoch,Loss with Regularization,CrossEntropy Loss,Regularization Term,Decorrelation Term,Accuracy,Conv1,Conv2,Trainable Parameters,Total Flops
0,1,0.02934917972951856,0.02935434909944888,0.0007862376514822245,6.1442124206223525e-06,98.89,20,50,1071880.0,2933000.0
1,1,0.010925801267148927,0.010925661435030633,0.0020117219537496567,6.144213330117054e-06,99.29,19,44,990948.0,2579400.0
2,1,0.01028886542757391,0.010288413985884592,0.005127066280692816,6.144491180748446e-06,99.31,18,39,923567.0,2286600.0
3,1,0.011028894741417996,0.011027693338643682,0.012712477706372738,6.975741143833147e-06,99.24,17,35,869662.0,2049800.0
4,1,0.012182084139009628,0.012180792651100395,0.014143205247819424,1.2288424841244705e-05,99.33,16,31,815957.0,1825800.0
5,1,0.01278940152192566,0.012786092727231638,0.0382402278482914,5.154414247954264e-05,99.11,15,28,775628.0,1651400.0
6,1,0.013058479811394743,0.013230721158227729,0.10976529121398926,0.01832178421318531,99.14,14,25,735449.0,1486600.0
7,1,0.007323828563094139,0.017306459442867586,0.17823466658592224,1.0000454187393188,98.94,13,22,695420.0,1331400.0
8,1,0.007555270769322912,0.017546758575966426,0.33298975229263306,1.0024787187576294,98.97,12,20,668642.0,1217800.0
9,1,0.007153099809462825,0.017130886160884984,0.4700043201446533,1.0024787187576294,99.01,11,18,641964.0,1110600.0
10,1,0.009971683833282442,0.02009923856870349,0.5560175776481628,1.0183156728744507,99.01,10,16,615386.0,1009800.0
11,1,0.00961887147432814,0.01971030902660762,0.9171862602233887,1.0183156728744507,98.98,9,15,601934.0,942600.0
12,1,0.011322554704577973,0.021398630841867997,1.0708038806915283,1.0183156728744507,98.86,8,14,588532.0,878600.0
13,1,0.014024793044663966,0.024060021937281514,1.479274868965149,1.0183156728744507,98.63,7,13,575180.0,817800.0
14,1,0.015737914547789843,0.02575757841026643,1.6349250078201294,1.0183156728744507,98.7,6,12,561878.0,760200.0
15,1,0.01727447901153937,0.027291760337150965,1.6587504148483276,1.0183156728744507,98.7,5,11,548626.0,705800.0
16,1,0.09165318942628801,0.10284367811866105,1.6286344528198242,1.1353353261947632,96.51,4,10,535424.0,654600.0
17,1,0.0765343817602843,0.09635126555338502,1.8311632871627808,2.0,96.71,3,9,522272.0,606600.0
18,1,0.17285259268557032,0.19266770920405785,1.8488023281097412,2.0,92.73,2,8,509170.0,561800.0
19,1,0.29868921868503095,0.3184892220298449,2.0,2.0,90.32,1,7,496118.0,520200.0
20,1,0.2916448275744915,0.3114448303977648,2.0,2.0,91.2,1,6,483292.0,505800.0
21,1,0.27965582730869454,0.29945582879086335,2.0,2.0,90.47,1,5,470466.0,491400.0
22,1,0.27297536450127763,0.2927753656481703,2.0,2.0,90.42,1,4,457640.0,477000.0
23,1,0.33237509394685427,0.35217509920398393,2.0,2.0,89.24,1,3,444814.0,462600.0
