Iteration,Epoch,Loss with Regularization,CrossEntropy Loss,Regularization Term,Decorrelation Term,Accuracy,Conv1,Conv2,Trainable Parameters,Total Flops
0,100,0.023283438138120498,0.028009231435329032,0.07234514504671097,0.1353352814912796,98.62,20,50,1071880.0,2933000.0
1,100,0.00737605265409608,0.008719959729836167,0.09445770829916,0.1353352814912796,99.21,19,44,990948.0,2579400.0
2,100,0.009619052284397184,0.019601457940686184,0.17594046890735626,1.0,98.91,18,39,923567.0,2286600.0
3,100,0.04794205134579291,0.05788332498709982,0.5872617363929749,1.0,97.69,17,35,869662.0,2049800.0
4,100,0.1478203387806813,0.15772033986325065,1.0000098943710327,1.0,94.94,16,31,815957.0,1825800.0
5,100,0.15733575847620765,0.1672357421244184,1.0002191066741943,1.0000001192092896,95.12,15,28,775628.0,1651400.0
6,100,0.16289027870322267,0.17279347053418556,1.001684308052063,1.000335454940796,94.18,14,25,735449.0,1486600.0
7,100,0.17780616347367564,0.1877084912980596,1.0103240013122559,1.000335454940796,93.19,13,22,695420.0,1331400.0
8,100,0.18139849561577043,0.19129976231604814,1.0209383964538574,1.000335454940796,92.74,12,20,668642.0,1217800.0
9,100,0.18518310808266203,0.19507995224247376,1.0651211738586426,1.000335454940796,93.74,11,18,641964.0,1110600.0
10,100,0.1833552297949791,0.19324693541973828,1.1165356636047363,1.000335454940796,93.87,10,16,615386.0,1009800.0
11,100,0.17968888932839036,0.18957260786245267,1.196394443511963,1.000335454940796,94.28,9,15,601934.0,942600.0
12,100,0.18566567711532117,0.19553644437342882,1.3259119987487793,1.000335454940796,93.3,8,14,588532.0,878600.0
13,100,0.2060517041881879,0.21594341207295656,1.3308185338974,1.0024787187576294,91.36,7,13,575180.0,817800.0
14,100,0.2134115059922139,0.2234466631958882,1.479947805404663,1.0183156728744507,92.23,6,12,561878.0,760200.0
15,100,0.2161862000202139,0.22739116810262203,1.4838541746139526,1.1353353261947632,91.54,5,11,548626.0,705800.0
16,100,0.21940764168898264,0.23925283964723348,1.5480440855026245,2.0,92.27,4,10,535424.0,654600.0
17,100,0.24073775758345922,0.26056350567688547,1.7425013780593872,2.0,91.89,3,9,522272.0,606600.0
18,100,0.25280056449274224,0.2726208595434825,1.7970056533813477,2.0,91.59,2,8,509170.0,561800.0
19,100,0.2675501706947883,0.2873501717671752,2.0,2.0,90.27,1,7,496118.0,520200.0
20,100,0.3041480647524198,0.32394806827108064,2.0,2.0,88.96,1,6,483292.0,505800.0
21,100,0.3463748756299416,0.36617488160729406,2.0,2.0,88.95,1,5,470466.0,491400.0
22,100,0.5656381703913211,0.5854381799697876,2.0,2.0,82.96,1,4,457640.0,477000.0
23,100,0.5562032531201839,0.5760032626986503,2.0,2.0,78.59,1,3,444814.0,462600.0
