Files already downloaded and verified
Files already downloaded and verified
Epoch [1/300], Train Accuracy: 24.27%, Test Accuracy: 34.54%
Epoch [2/300], Train Accuracy: 44.35%, Test Accuracy: 54.48%
Epoch [3/300], Train Accuracy: 58.41%, Test Accuracy: 44.91%
Epoch [4/300], Train Accuracy: 67.29%, Test Accuracy: 60.21%
Epoch [5/300], Train Accuracy: 72.77%, Test Accuracy: 73.55%
Epoch [6/300], Train Accuracy: 75.26%, Test Accuracy: 70.66%
Epoch [7/300], Train Accuracy: 76.66%, Test Accuracy: 61.81%
Epoch [8/300], Train Accuracy: 78.15%, Test Accuracy: 76.02%
Epoch [9/300], Train Accuracy: 79.09%, Test Accuracy: 70.95%
Epoch [10/300], Train Accuracy: 79.76%, Test Accuracy: 73.13%
Epoch [11/300], Train Accuracy: 80.26%, Test Accuracy: 79.39%
Epoch [12/300], Train Accuracy: 80.65%, Test Accuracy: 68.19%
Epoch [13/300], Train Accuracy: 81.05%, Test Accuracy: 66.44%
Epoch [14/300], Train Accuracy: 81.21%, Test Accuracy: 72.61%
Epoch [15/300], Train Accuracy: 81.91%, Test Accuracy: 75.01%
Epoch [16/300], Train Accuracy: 82.06%, Test Accuracy: 77.92%
Epoch [17/300], Train Accuracy: 82.25%, Test Accuracy: 72.91%
Epoch [18/300], Train Accuracy: 82.56%, Test Accuracy: 62.68%
Epoch [19/300], Train Accuracy: 82.66%, Test Accuracy: 73.58%
Epoch [20/300], Train Accuracy: 82.80%, Test Accuracy: 72.44%
Epoch [21/300], Train Accuracy: 82.84%, Test Accuracy: 71.40%
Epoch [22/300], Train Accuracy: 83.11%, Test Accuracy: 76.53%
Epoch [23/300], Train Accuracy: 83.16%, Test Accuracy: 70.61%
Epoch [24/300], Train Accuracy: 83.41%, Test Accuracy: 74.71%
Epoch [25/300], Train Accuracy: 83.45%, Test Accuracy: 68.42%
Epoch [26/300], Train Accuracy: 83.41%, Test Accuracy: 75.72%
Epoch [27/300], Train Accuracy: 83.23%, Test Accuracy: 78.64%
Epoch [28/300], Train Accuracy: 83.65%, Test Accuracy: 79.66%
Epoch [29/300], Train Accuracy: 83.84%, Test Accuracy: 76.45%
Epoch [30/300], Train Accuracy: 83.76%, Test Accuracy: 74.87%
Epoch [31/300], Train Accuracy: 83.62%, Test Accuracy: 77.88%
Epoch [32/300], Train Accuracy: 83.98%, Test Accuracy: 78.78%
Epoch [33/300], Train Accuracy: 84.03%, Test Accuracy: 68.96%
Epoch [34/300], Train Accuracy: 83.97%, Test Accuracy: 78.03%
Epoch [35/300], Train Accuracy: 84.10%, Test Accuracy: 77.35%
Epoch [36/300], Train Accuracy: 83.92%, Test Accuracy: 76.38%
Epoch [37/300], Train Accuracy: 84.23%, Test Accuracy: 76.47%
Epoch [38/300], Train Accuracy: 84.14%, Test Accuracy: 81.49%
Epoch [39/300], Train Accuracy: 84.22%, Test Accuracy: 82.30%
Epoch [40/300], Train Accuracy: 84.06%, Test Accuracy: 81.02%
Epoch [41/300], Train Accuracy: 84.32%, Test Accuracy: 81.00%
Epoch [42/300], Train Accuracy: 84.42%, Test Accuracy: 76.93%
Epoch [43/300], Train Accuracy: 84.55%, Test Accuracy: 81.43%
Epoch [44/300], Train Accuracy: 84.62%, Test Accuracy: 77.91%
Epoch [45/300], Train Accuracy: 84.62%, Test Accuracy: 75.09%
Epoch [46/300], Train Accuracy: 84.46%, Test Accuracy: 72.95%
Epoch [47/300], Train Accuracy: 84.45%, Test Accuracy: 79.74%
Epoch [48/300], Train Accuracy: 85.03%, Test Accuracy: 79.21%
Epoch [49/300], Train Accuracy: 84.65%, Test Accuracy: 76.61%
Epoch [50/300], Train Accuracy: 84.87%, Test Accuracy: 80.29%
Epoch [51/300], Train Accuracy: 84.85%, Test Accuracy: 74.92%
Epoch [52/300], Train Accuracy: 85.00%, Test Accuracy: 80.31%
Epoch [53/300], Train Accuracy: 85.00%, Test Accuracy: 82.92%
Epoch [54/300], Train Accuracy: 84.91%, Test Accuracy: 77.38%
Epoch [55/300], Train Accuracy: 85.01%, Test Accuracy: 81.29%
Epoch [56/300], Train Accuracy: 85.17%, Test Accuracy: 68.76%
Epoch [57/300], Train Accuracy: 85.12%, Test Accuracy: 78.48%
Epoch [58/300], Train Accuracy: 84.97%, Test Accuracy: 80.83%
Epoch [59/300], Train Accuracy: 84.82%, Test Accuracy: 80.04%
Epoch [60/300], Train Accuracy: 84.89%, Test Accuracy: 78.75%
Epoch [61/300], Train Accuracy: 85.06%, Test Accuracy: 81.04%
Epoch [62/300], Train Accuracy: 84.98%, Test Accuracy: 78.52%
Epoch [63/300], Train Accuracy: 85.03%, Test Accuracy: 80.99%
Epoch [64/300], Train Accuracy: 85.09%, Test Accuracy: 77.33%
Epoch [65/300], Train Accuracy: 85.24%, Test Accuracy: 74.93%
Epoch [66/300], Train Accuracy: 85.25%, Test Accuracy: 77.90%
Epoch [67/300], Train Accuracy: 85.30%, Test Accuracy: 78.85%
Epoch [68/300], Train Accuracy: 84.75%, Test Accuracy: 80.78%
Epoch [69/300], Train Accuracy: 85.17%, Test Accuracy: 78.88%
Epoch [70/300], Train Accuracy: 85.51%, Test Accuracy: 80.15%
Epoch [71/300], Train Accuracy: 85.23%, Test Accuracy: 81.88%
Epoch [72/300], Train Accuracy: 85.27%, Test Accuracy: 79.39%
Epoch [73/300], Train Accuracy: 85.04%, Test Accuracy: 79.70%
Epoch [74/300], Train Accuracy: 84.98%, Test Accuracy: 80.50%
Epoch [75/300], Train Accuracy: 85.56%, Test Accuracy: 76.92%
Epoch [76/300], Train Accuracy: 85.53%, Test Accuracy: 78.44%
